Profile_Id,Profile_Name,Profile_Link,Designation
1,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/persons/mohamed-abdelshafy/publications/,Assistant Professor Academic
2,Reda Al-Bodour,https://pureportal.coventry.ac.uk/en/persons/reda-al-bodour/publications/,Deputy Head of School
3,Ali Al Shakarchi,https://pureportal.coventry.ac.uk/en/persons/ali-al-shakarchi/publications/,Project Supervisor
4,Rachid Anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane/publications/,Assistant Professor Academic
5,Abdullahi Arabo,https://pureportal.coventry.ac.uk/en/persons/abdullahi-arabo/publications/,Project Supervisor
6,Farzana Aslam,https://pureportal.coventry.ac.uk/en/persons/farzana-aslam/publications/,Associate Head of School - Student Experience
7,Kamal Bentahar,https://pureportal.coventry.ac.uk/en/persons/kamal-bentahar/publications/,Assistant Professor (Academic)
8,Frank Bierbrauer,https://pureportal.coventry.ac.uk/en/persons/frank-bierbrauer/publications/,Assistant Lecturer in Mathematics
9,Will Blewitt,https://pureportal.coventry.ac.uk/en/persons/will-blewitt/publications/,Associate Head of School - Marketing and Recruitment
10,Ray Brown,https://pureportal.coventry.ac.uk/en/persons/ray-brown/publications/,Project Supervisor
11,Nachiketa Chakraborty,https://pureportal.coventry.ac.uk/en/persons/nachiketa-chakraborty/publications/,Lecturer in Mathematics and Data Science
12,Omid Chatrabgoun,https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun/publications/,Assistant Professor (Academic)
13,Long Chen,https://pureportal.coventry.ac.uk/en/persons/long-chen/publications/,Lecturer in Data Science
14,Ashima Chopra,https://pureportal.coventry.ac.uk/en/persons/ashima-chopra/publications/,Project Supervisor
15,Alireza Daneshkhah,https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah/publications/,Curriculum Lead (Associate Professor - Academic)
16,Ian Dunwell,https://pureportal.coventry.ac.uk/en/persons/ian-dunwell/publications/,Assistant Professor Research
17,Mahmoud Elbattah,https://pureportal.coventry.ac.uk/en/persons/mahmoud-elbattah/publications/,Project Supervisor
18,Basil Elmasri,https://pureportal.coventry.ac.uk/en/persons/dr-basil-elmasri-elmasri/publications/,Lecturer in Computer Science
19,Mark Elshaw,https://pureportal.coventry.ac.uk/en/persons/mark-elshaw/publications/,Lecturer in Computer Science
20,Xiang Fei,https://pureportal.coventry.ac.uk/en/persons/xiang-fei/publications/,Assistant Professor Academic
21,Abbas Fotouhi,https://pureportal.coventry.ac.uk/en/persons/abbas-fotouhi/publications/,"2Project Supervisor, Project Supervisor"
22,Marwan Fuad,https://pureportal.coventry.ac.uk/en/persons/marwan-fuad/publications/,Assistant Professor Academic
23,Daniel Goldsmith,https://pureportal.coventry.ac.uk/en/persons/daniel-goldsmith/publications/,Assistant Professor Academic
24,Beate Grawemeyer,https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer/publications/,Lecturer in Computer Science
25,Daniyal Haider,https://pureportal.coventry.ac.uk/en/persons/daniyal-haider/publications/,Project Supervisor
26,John Halloran,https://pureportal.coventry.ac.uk/en/persons/john-halloran/publications/,Curriculum Lead (Associate Professor Academic)
27,Manik Hapsara,https://pureportal.coventry.ac.uk/en/persons/manik-hapsara/publications/,Assistant Professor (Academic)
28,Qamar Hayat,https://pureportal.coventry.ac.uk/en/persons/qamar-hayat/publications/,Project Supervisor
29,Tjun Hoh,https://pureportal.coventry.ac.uk/en/persons/tjun-hoh/publications/,Lecturer in Mathematics and Statistics
30,Darren Imrie,https://pureportal.coventry.ac.uk/en/persons/darren-imrie/publications/,"4 Project Supervisor, D Project Supervisor"
31,Mark Johnston,https://pureportal.coventry.ac.uk/en/persons/mark-johnston/publications/,Assistant Professor Academic
32,Server Kasap,https://pureportal.coventry.ac.uk/en/persons/server-kasap/publications/,Assistant Professor (Academic)
33,Ganiat Kazeem,https://pureportal.coventry.ac.uk/en/persons/ganiat-kazeem/publications/,Project Supervisor
34,Azam Khan,https://pureportal.coventry.ac.uk/en/persons/azam-khan/publications/,Project Supervisor
35,Olalekan Lanihun,https://pureportal.coventry.ac.uk/en/persons/olalekan-lanihun/publications/,Lecturer in Web and Games Technologies
36,YingLiang Ma,https://pureportal.coventry.ac.uk/en/persons/yingliang-ma/publications/,"Project Supervisor (2), Project Supervisor"
37,Masele Mgombelo,https://pureportal.coventry.ac.uk/en/persons/masele-mgombelo/publications/,Project Supervisor
38,Faye Mitchell,https://pureportal.coventry.ac.uk/en/persons/faye-mitchell/publications/,"Head of School - Computing, Electronics & Mathematics"
39,Mia Mohac,https://pureportal.coventry.ac.uk/en/persons/mia-mohac/publications/,Assistant Lecturer in Games Technologies
40,Kabiru Mohammed,https://pureportal.coventry.ac.uk/en/persons/kabiru-mohammed/publications/,Lecturer in Cyber Security
41,Seyed Mousavi,https://pureportal.coventry.ac.uk/en/persons/seyed-mousavi/publications/,Assistant Professor (Academic)
42,Maha Moustafa,https://pureportal.coventry.ac.uk/en/persons/maha-moustafa/publications/,Lecturer in Mathematics and Statistics
43,Musa Muhammad,https://pureportal.coventry.ac.uk/en/persons/musa-muhammad/publications/,Lecturer in Cyber Security and Digital Forensics
44,David Oyebisi,https://pureportal.coventry.ac.uk/en/persons/david-oyebisi/publications/,Lecturer in IT Management
45,Rrubaa Panchendrarajan,https://pureportal.coventry.ac.uk/en/persons/rrubaa-panchendrarajan/publications/,Project Supervisor
46,Anup Pandey,https://pureportal.coventry.ac.uk/en/persons/anup-pandey-2/publications/,Lecturer in Data Science
47,Alex Pedcenko,https://pureportal.coventry.ac.uk/en/persons/alex-pedcenko/publications/,Assistant Professor Academic
48,Thierry Platini,https://pureportal.coventry.ac.uk/en/persons/thierry-platini/publications/,Assistant Professor Academic
49,Ariwan Mohammed Rasool,https://pureportal.coventry.ac.uk/en/persons/ariwan-mohammed-rasool/publications/,Project Supervisor
50,Davood Sabaei,https://pureportal.coventry.ac.uk/en/persons/davood-sabaei/publications/,"Project Supervisor (2), Project Supervisor"
51,Aram Saeed,https://pureportal.coventry.ac.uk/en/persons/aram-saeed/publications/,Lecturer in Computer Science
52,Nahid Salimi,https://pureportal.coventry.ac.uk/en/persons/nahid-salimi/publications/,"2Project Supervisor, Project Supervisor"
53,George Samways,https://pureportal.coventry.ac.uk/en/persons/george-samways/publications/,Assistant Lecturer in Mathematics and Statistics
54,Nazaraf Shah,https://pureportal.coventry.ac.uk/en/persons/nazaraf-shah/publications/,Assistant Professor Academic
55,Neda Shateri,https://pureportal.coventry.ac.uk/en/persons/neda-shateri/publications/,Project Supervisor
56,James Shuttleworth,https://pureportal.coventry.ac.uk/en/persons/james-shuttleworth/publications/,Curriculum Lead (Associate Professor - Academic)
57,Lakhvir Singh,https://pureportal.coventry.ac.uk/en/persons/lakhvir-singh/publications/,Project Supervisor
58,Theodoros Spyridopoulos,https://pureportal.coventry.ac.uk/en/persons/theodoros-spyridopoulos/publications/,Project Supervisor
59,Colin Stephen,https://pureportal.coventry.ac.uk/en/persons/colin-stephen/publications/,Assistant Lecturer
60,Xingang Wang,https://pureportal.coventry.ac.uk/en/persons/xingang-wang/publications/,Assistant Professor Academic
61,Tarjana Yagnik,https://pureportal.coventry.ac.uk/en/persons/tarjana-yagnik/publications/,Project Supervisor
62,Taras Yavorskyi,https://pureportal.coventry.ac.uk/en/persons/taras-yavorskyi/publications/,Curriculum Lead (Associate Professor - Academic)
